id,season,team1,team2,toss_winner,toss_decision,winner,toss_win_match_win,target
1,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,1
2,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,1,0
3,2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
4,2017,Rising Pune Supergiant,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
5,2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,1
6,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,1,0
7,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
8,2017,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,0,0
9,2017,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Capitals,0,1
10,2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
11,2017,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
12,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
13,2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
14,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,0,1
15,2017,Delhi Capitals,Punjab Kings,Delhi Daredevils,bat,Delhi Capitals,0,1
16,2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
17,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,0,1
18,2017,Delhi Capitals,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,0
19,2017,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,field,Sunrisers Hyderabad,0,1
20,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,0,1
21,2017,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,1
22,2017,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
23,2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
24,2017,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field,Mumbai Indians,0,1
25,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,1,0
26,2017,Punjab Kings,Gujarat Lions,Gujarat Lions,field,Punjab Kings,0,1
27,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,1
28,2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant,0,1
29,2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
30,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
31,2017,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
32,2017,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,field,Sunrisers Hyderabad,0,1
33,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,0,1
34,2017,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,0,0
35,2017,Delhi Capitals,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
36,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,1
37,2017,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,0
38,2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,1,0
39,2017,Sunrisers Hyderabad,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
40,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,1,0
41,2017,Gujarat Lions,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
42,2017,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,0,1
43,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rising Pune Supergiant,0,1
44,2017,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field,Mumbai Indians,0,1
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
46,2017,Punjab Kings,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,1,0
47,2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0,0
48,2017,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,0,1
49,2017,Gujarat Lions,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
50,2017,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,0,1
51,2017,Delhi Capitals,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Capitals,0,1
