batsman,total_runs,balls_faced,fours,sixes,matches_played,strike_rate,avg_runs_per_match,cluster,player_type
A Ashish Reddy,280,196,16,15,23,142.86,12.17,2,Consistent Scorers
A Mishra,340,382,27,5,49,89.01,6.94,0,Power Hitters
A Symonds,974,781,74,41,36,124.71,27.06,3,Finishers
AB de Villiers,3486,2402,287,158,118,145.13,29.54,1,Anchors
AC Gilchrist,2069,1555,239,92,80,133.05,25.86,3,Finishers
AD Mathews,724,599,44,29,41,120.87,17.66,2,Consistent Scorers
AD Russell,574,350,48,37,25,164.0,22.96,2,Consistent Scorers
AJ Finch,1604,1270,170,59,64,126.3,25.06,3,Finishers
AL Menaria,401,367,24,18,23,109.26,17.43,0,Power Hitters
AM Nayar,672,588,55,20,50,114.29,13.44,2,Consistent Scorers
AM Rahane,3057,2602,320,60,105,117.49,29.11,3,Finishers
AP Tare,339,285,40,11,27,118.95,12.56,2,Consistent Scorers
AR Patel,606,494,34,28,42,122.67,14.43,2,Consistent Scorers
AT Rayudu,2416,1964,205,79,105,123.01,23.01,3,Finishers
Azhar Mahmood,388,311,39,13,21,124.76,18.48,2,Consistent Scorers
B Chipli,280,256,28,7,21,109.38,13.33,0,Power Hitters
B Kumar,158,160,15,3,33,98.75,4.79,0,Power Hitters
BB McCullum,2755,2181,277,124,103,126.32,26.75,1,Anchors
BJ Hodge,1400,1153,122,43,63,121.42,22.22,3,Finishers
CA Pujara,390,403,50,4,22,96.77,17.73,0,Power Hitters
CH Gayle,3651,2532,297,266,100,144.19,36.51,1,Anchors
CH Morris,439,275,33,23,28,159.64,15.68,2,Consistent Scorers
CJ Anderson,521,414,40,30,26,125.85,20.04,2,Consistent Scorers
CL White,971,774,76,38,45,125.45,21.58,3,Finishers
DA Miller,1563,1135,104,78,64,137.71,24.42,3,Finishers
DA Warner,4014,2902,401,160,114,138.32,35.21,1,Anchors
DB Das,304,267,23,16,22,113.86,13.82,2,Consistent Scorers
DB Ravi Teja,375,325,35,9,25,115.38,15.0,2,Consistent Scorers
DJ Bravo,1262,1032,102,48,81,122.29,15.58,2,Consistent Scorers
DJ Hooda,373,277,20,20,30,134.66,12.43,2,Consistent Scorers
DJ Hussey,1322,1101,90,60,61,120.07,21.67,3,Finishers
DJG Sammy,295,251,15,18,20,117.53,14.75,2,Consistent Scorers
DPMD Jayawardene,1808,1522,200,40,78,118.79,23.18,3,Finishers
DR Smith,2385,1803,245,117,88,132.28,27.1,1,Anchors
DT Christian,420,351,22,18,31,119.66,13.55,2,Consistent Scorers
DW Steyn,166,161,14,3,32,103.11,5.19,0,Power Hitters
EJG Morgan,854,725,72,34,45,117.79,18.98,2,Consistent Scorers
F du Plessis,1295,1043,110,38,46,124.16,28.15,3,Finishers
G Gambhir,4132,3433,484,58,146,120.36,28.3,1,Anchors
GC Smith,739,691,94,9,29,106.95,25.48,3,Finishers
GH Vihari,280,323,23,1,21,86.69,13.33,0,Power Hitters
GJ Bailey,663,552,59,19,36,120.11,18.42,2,Consistent Scorers
GJ Maxwell,1229,780,96,82,55,157.56,22.35,2,Consistent Scorers
Gurkeerat Singh,342,280,36,9,24,122.14,14.25,2,Consistent Scorers
HH Gibbs,886,837,83,31,36,105.85,24.61,3,Finishers
HH Pandya,406,306,24,28,33,132.68,12.3,2,Consistent Scorers
Harbhajan Singh,799,591,76,41,82,135.19,9.74,2,Consistent Scorers
IK Pathan,1150,985,88,38,82,116.75,14.02,2,Consistent Scorers
J Botha,409,364,39,5,28,112.36,14.61,0,Power Hitters
